name,CSEIIAlt,
m,23.8,
I_z,1.76,
x_g,0.046,
y_g,,
X_u_dot,-2,
Y_v_dot,-10,
Y_r_dot,-0,
N_r_dot,-1,
X_u,-0.72253,
X_uu,-1.32742,
X_uuu,-5.86643,
X_v,,
X_vv,,
X_vvv,,
Y_v,-0.88965,
Y_vv,-36.47287,
Y_vvv,,
Y_r,-7.25,
Y_rr,-3.45,
Y_rrr,,
Y_rv,-0.805,
Y_vr,-0.845,
N_v,0.03130,
N_vv,3.95645,
N_vvv,,
N_r,-1.9,
N_rr,-0.75,
N_rrr,,
N_rv,0.13,
N_vr,0.08,
