-2.000000000   	0.000000000   	0.000000000   	-0.000000000   	-0.200000000   	0.000000000   	240.000000000   	0.000000000   	0.000000000   	0.000000000
-2.000000000   	-0.010000000   	0.000000000   	0.098811141   	-0.192294397   	-0.039717708   	246.000000000   	0.000000000   	0.000000000   	0.050000000
-1.995068993   	-0.019619619   	-0.001985885   	0.199962306   	-0.184313797   	-0.075939802   	232.237771774   	0.000000000   	0.913507280   	0.100000000
-1.985106756   	-0.028874070   	-0.005782876   	0.295173857   	-0.175505370   	-0.106103040   	217.513483191   	0.000000000   	1.865778510   	0.150000000
-1.970422628   	-0.037773511   	-0.011088028   	0.383921883   	-0.165718324   	-0.130130687   	203.471361438   	0.000000000   	2.787381294   	0.200000000
-1.951347369   	-0.046333847   	-0.017594562   	0.466369340   	-0.154945697   	-0.148160964   	190.245886876   	0.000000000   	3.658381741   	0.250000000
-1.928199237   	-0.054575969   	-0.025002610   	0.542748065   	-0.143283470   	-0.160420405   	177.836786029   	0.000000000   	4.463558139   	0.300000000
-1.901281153   	-0.062524337   	-0.033023630   	0.613307609   	-0.130904968   	-0.167218842   	166.229194382   	0.000000000   	5.190133193   	0.350000000
-1.870880535   	-0.070205648   	-0.041384572   	0.678312305   	-0.118037564   	-0.168945809   	155.403545211   	0.000000000   	5.827923575   	0.400000000
-1.837269368   	-0.077647661   	-0.049831863   	0.738040755   	-0.104941337   	-0.166062379   	145.336067989   	0.000000000   	6.369507264   	0.450000000
-1.800704310   	-0.084878195   	-0.058134982   	0.792783869   	-0.091890088   	-0.159089295   	135.998816546   	0.000000000   	6.810274953   	0.500000000
-1.761426849   	-0.091924316   	-0.066089447   	0.842841465   	-0.079155089   	-0.148592647   	127.359989812   	0.000000000   	7.148371847   	0.550000000
-1.719663546   	-0.098811724   	-0.073519079   	0.888517867   	-0.066991739   	-0.135168228   	119.384551298   	0.000000000   	7.384547268   	0.600000000
-1.675626348   	-0.105564309   	-0.080277490   	0.930117053   	-0.055629154   	-0.119425587   	112.035063594   	0.000000000   	7.521931176   	0.650000000
-1.629513003   	-0.112203871   	-0.086248770   	0.967937837   	-0.045262567   	-0.101972554   	105.272637184   	0.000000000   	7.565756491   	0.700000000
-1.581507542   	-0.118749981   	-0.091347397   	1.002269526   	-0.036048320   	-0.083400874   	99.057895044   	0.000000000   	7.523044736   	0.750000000
-1.531780838   	-0.125219945   	-0.095517441   	1.033388339   	-0.028101141   	-0.064273358   	93.351868133   	0.000000000   	7.402270492   	0.800000000
-1.480491204   	-0.131628846   	-0.098731109   	1.061554793   	-0.021493409   	-0.045112840   	88.116757809   	0.000000000   	7.213017834   	0.850000000
-1.427785033   	-0.137989643   	-0.100986751   	1.087012089   	-0.016256065   	-0.026393080   	83.316525302   	0.000000000   	6.965639645   	0.900000000
-1.373797444   	-0.144313295   	-0.102306405   	1.109985464   	-0.012380876   	-0.008531677   	78.917292195   	0.000000000   	6.670928635   	0.950000000
-1.318652925   	-0.150608895   	-0.102732989   	1.130682373   	-0.009823782   	0.008115039   	74.887556794   	0.000000000   	6.339807137   	1.000000000
-1.262465976   	-0.156883804   	-0.102327237   	1.149293324   	-0.008510487   	0.023252150   	71.198247539   	0.000000000   	5.983041351   	1.050000000
-1.205341721   	-0.163143841   	-0.101164629   	1.165993145   	-0.008343563   	0.036643075   	67.822645604   	0.000000000   	5.611054317   	1.100000000
